epoch,batch_size,d_model,d_inner,d_k,d_v,n_head,n_layers,dropout,lr,num_samples,event_interest,threshold,val_loglikelihood
10,64,256,512,128,128,2,2,0.20001398204099205,0.00011433972917834512,5,7,0.3995321529127852,-23.7495
10,64,256,256,32,128,4,2,0.4518760958056507,1.0428152739102474e-05,1,7,0.3277763370495662,-5385.7871
10,64,256,128,32,32,4,2,0.15601721570840718,3.260466332814079e-05,1,7,0.30234367380964466,-2705.522
50,16,128,128,64,64,4,4,0.3762095095455431,7.75741066088231e-05,1,7,0.41081142263431136,-1.0063
20,32,64,128,64,32,4,6,0.20778101895055326,0.00027357780512357247,5,7,0.3012247744932183,-1.1994
10,32,128,128,32,128,4,4,0.16318206879355385,1.4147666728378253e-05,10,7,0.45888142447897556,-4471.9243
10,32,64,512,64,32,2,4,0.24038865353183875,0.0001056902286254309,1,7,0.4853887426920295,-25.401
20,16,256,512,32,128,8,6,0.35233378042337404,0.00014314634163323443,5,7,0.4499520182375017,-1.0075
50,16,256,256,128,128,4,2,0.31081889314000843,2.564861185799779e-05,5,7,0.4630407710305092,-1.2005
20,16,128,128,32,32,4,6,0.10873353774706077,1.759602208541993e-05,5,7,0.45441405617784975,-3.9364
50,16,128,128,64,64,8,4,0.42643061676014593,0.0004151019916938063,10,7,0.21813301960780362,-1.1043
20,16,128,512,64,64,8,6,0.3640595221353475,6.171342774412893e-05,1,7,0.39180208492018165,-1.1005
50,16,256,512,32,64,8,6,0.3592448153364561,0.00020946689631413506,5,7,0.3937739689394346,-1.0284
50,16,128,512,64,64,8,4,0.4873834245946357,5.854364025435361e-05,1,7,0.4160660447818507,-1.0336
